outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP3_402_10319_20140928_155615_D1_scripted.sph	10319	20140928	155615	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155847_S6_scripted.sph	10319	20140928	155847	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160030_S4_scripted.sph	10319	20140928	160030	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160016_A1_scripted.sph	10319	20140928	160016	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155858_D3_scripted.sph	10319	20140928	155858	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155804_M1_scripted.sph	10319	20140928	155804	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155537_R1_scripted.sph	10319	20140928	155537	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155717_S8_scripted.sph	10319	20140928	155717	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155647_O2_scripted.sph	10319	20140928	155647	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155626_C6_scripted.sph	10319	20140928	155626	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155547_O1_scripted.sph	10319	20140928	155547	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155912_S5_scripted.sph	10319	20140928	155912	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155827_S2_scripted.sph	10319	20140928	155827	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160041_N1_scripted.sph	10319	20140928	160041	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10416_20141126_133805_M1_scripted.sph	10416	20141126	133805	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133629_C6_scripted.sph	10416	20141126	133629	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133959_S1_scripted.sph	10416	20141126	133959	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133716_S8_scripted.sph	10416	20141126	133716	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133745_O3_scripted.sph	10416	20141126	133745	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_134015_S4_scripted.sph	10416	20141126	134015	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_134025_N1_scripted.sph	10416	20141126	134025	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_134007_A1_scripted.sph	10416	20141126	134007	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133618_D1_scripted.sph	10416	20141126	133618	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133541_R1_scripted.sph	10416	20141126	133541	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133726_C1_scripted.sph	10416	20141126	133726	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133640_T1_scripted.sph	10416	20141126	133640	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133553_O1_scripted.sph	10416	20141126	133553	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133837_O5_scripted.sph	10416	20141126	133837	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133945_S3_scripted.sph	10416	20141126	133945	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133813_O6_scripted.sph	10416	20141126	133813	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133931_D2_scripted.sph	10416	20141126	133931	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133858_D3_scripted.sph	10416	20141126	133858	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133648_O2_scripted.sph	10416	20141126	133648	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133754_C4_scripted.sph	10416	20141126	133754	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133737_C2_scripted.sph	10416	20141126	133737	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133606_O8_scripted.sph	10416	20141126	133606	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_134036_S7_scripted.sph	10416	20141126	134036	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_134048_S9_scripted.sph	10416	20141126	134048	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133910_S5_scripted.sph	10416	20141126	133910	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133850_S6_scripted.sph	10416	20141126	133850	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133920_T2_scripted.sph	10416	20141126	133920	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10416_20141126_133826_S2_scripted.sph	10416	20141126	133826	10416	inLine	EASTERN	F	HOME_OFFICE_LANDLINE	47	TELKOM	PANASONIC	0	8000
BABEL_OP3_402_10901_20141116_142912_S6_scripted.sph	10901	20141116	142912	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142711_T1_scripted.sph	10901	20141116	142711	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142955_D2_scripted.sph	10901	20141116	142955	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142641_O8_scripted.sph	10901	20141116	142641	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143039_S4_scripted.sph	10901	20141116	143039	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143119_S9_scripted.sph	10901	20141116	143119	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142758_C1_scripted.sph	10901	20141116	142758	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142944_T2_scripted.sph	10901	20141116	142944	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142653_D1_scripted.sph	10901	20141116	142653	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142833_M1_scripted.sph	10901	20141116	142833	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142853_S2_scripted.sph	10901	20141116	142853	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143026_A1_scripted.sph	10901	20141116	143026	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142934_S5_scripted.sph	10901	20141116	142934	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142814_O3_scripted.sph	10901	20141116	142814	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142749_S8_scripted.sph	10901	20141116	142749	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142823_C4_scripted.sph	10901	20141116	142823	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142704_C6_scripted.sph	10901	20141116	142704	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142619_R1_scripted.sph	10901	20141116	142619	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143019_S1_scripted.sph	10901	20141116	143019	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142631_O1_scripted.sph	10901	20141116	142631	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142900_O5_scripted.sph	10901	20141116	142900	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142721_O2_scripted.sph	10901	20141116	142721	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142923_D3_scripted.sph	10901	20141116	142923	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143104_S7_scripted.sph	10901	20141116	143104	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142808_C2_scripted.sph	10901	20141116	142808	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143009_S3_scripted.sph	10901	20141116	143009	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_142842_O6_scripted.sph	10901	20141116	142842	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_10901_20141116_143049_N1_scripted.sph	10901	20141116	143049	10901	inLine	CENTRAL	M	STREET	27	TELKOMSEL	NOKIA	0	8000
BABEL_OP3_402_12220_20141106_023323_R1_scripted.sph	12220	20141106	023323	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023457_S8_scripted.sph	12220	20141106	023457	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023721_S1_scripted.sph	12220	20141106	023721	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023750_N1_scripted.sph	12220	20141106	023750	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023647_T2_scripted.sph	12220	20141106	023647	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023534_C4_scripted.sph	12220	20141106	023534	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023419_T1_scripted.sph	12220	20141106	023419	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023359_D1_scripted.sph	12220	20141106	023359	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023815_S9_scripted.sph	12220	20141106	023815	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023609_O5_scripted.sph	12220	20141106	023609	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023728_A1_scripted.sph	12220	20141106	023728	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023507_C1_scripted.sph	12220	20141106	023507	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023411_C6_scripted.sph	12220	20141106	023411	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023338_O1_scripted.sph	12220	20141106	023338	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023544_M1_scripted.sph	12220	20141106	023544	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023525_O3_scripted.sph	12220	20141106	023525	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023740_S4_scripted.sph	12220	20141106	023740	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023625_D3_scripted.sph	12220	20141106	023625	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023658_D2_scripted.sph	12220	20141106	023658	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023551_O6_scripted.sph	12220	20141106	023551	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023637_S5_scripted.sph	12220	20141106	023637	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023518_C2_scripted.sph	12220	20141106	023518	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023803_S7_scripted.sph	12220	20141106	023803	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023618_S6_scripted.sph	12220	20141106	023618	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023601_S2_scripted.sph	12220	20141106	023601	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023711_S3_scripted.sph	12220	20141106	023711	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023348_O8_scripted.sph	12220	20141106	023348	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12220_20141106_023429_O2_scripted.sph	12220	20141106	023429	12220	inLine	CENTRAL	F	HOME_OFFICE_MOBILE	48	INDOSAT	ADVAN	0	8000
BABEL_OP3_402_12767_20140924_185852_D3_scripted.sph	12767	20140924	185852	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185646_C6_scripted.sph	12767	20140924	185646	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185952_A1_scripted.sph	12767	20140924	185952	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185601_R1_scripted.sph	12767	20140924	185601	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_190003_S4_scripted.sph	12767	20140924	190003	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185913_T2_scripted.sph	12767	20140924	185913	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185923_D2_scripted.sph	12767	20140924	185923	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_190039_S9_scripted.sph	12767	20140924	190039	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185634_D1_scripted.sph	12767	20140924	185634	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185740_C1_scripted.sph	12767	20140924	185740	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185818_O6_scripted.sph	12767	20140924	185818	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185834_O5_scripted.sph	12767	20140924	185834	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185624_O8_scripted.sph	12767	20140924	185624	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185613_O1_scripted.sph	12767	20140924	185613	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185903_S5_scripted.sph	12767	20140924	185903	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185811_M1_scripted.sph	12767	20140924	185811	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_190024_S7_scripted.sph	12767	20140924	190024	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_190011_N1_scripted.sph	12767	20140924	190011	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185729_S8_scripted.sph	12767	20140924	185729	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185702_O2_scripted.sph	12767	20140924	185702	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185756_O3_scripted.sph	12767	20140924	185756	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185653_T1_scripted.sph	12767	20140924	185653	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185750_C2_scripted.sph	12767	20140924	185750	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185827_S2_scripted.sph	12767	20140924	185827	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185935_S3_scripted.sph	12767	20140924	185935	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185945_S1_scripted.sph	12767	20140924	185945	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185845_S6_scripted.sph	12767	20140924	185845	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_12767_20140924_185804_C4_scripted.sph	12767	20140924	185804	12767	inLine	WESTERN	F	MICROPHONE	36	INDOSAT	SAMSUNG	0	8000
BABEL_OP3_402_13030_20141107_174511_T1_scripted.sph	13030	20141107	174511	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174838_D2_scripted.sph	13030	20141107	174838	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174612_O3_scripted.sph	13030	20141107	174612	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174505_C6_scripted.sph	13030	20141107	174505	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174744_S2_scripted.sph	13030	20141107	174744	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174554_C1_scripted.sph	13030	20141107	174554	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174728_M1_scripted.sph	13030	20141107	174728	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174935_S7_scripted.sph	13030	20141107	174935	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174856_S1_scripted.sph	13030	20141107	174856	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174718_C4_scripted.sph	13030	20141107	174718	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174829_T2_scripted.sph	13030	20141107	174829	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174847_S3_scripted.sph	13030	20141107	174847	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174421_R1_scripted.sph	13030	20141107	174421	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174518_O2_scripted.sph	13030	20141107	174518	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174751_O5_scripted.sph	13030	20141107	174751	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174546_S8_scripted.sph	13030	20141107	174546	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174913_S4_scripted.sph	13030	20141107	174913	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
BABEL_OP3_402_13030_20141107_174443_O8_scripted.sph	13030	20141107	174443	13030	inLine	WESTERN	M	MICROPHONE	17	AXIS	BLACKBERRY	0	8000
